frame_idx,time_sec,active_side,left_elbow_angle,left_rep_count,left_good_form,left_rom_ok,left_torso_stable,left_elbow_near_torso,left_wrist_ok,left_messages,right_elbow_angle,right_rep_count,right_good_form,right_rom_ok,right_torso_stable,right_elbow_near_torso,right_wrist_ok,right_messages
44,1.4666666666666666,left,54.857472663795214,0,True,True,True,True,True,Good curl mechanics in this frame.,99.75533707105993,0,False,False,True,True,True,Increase curl depth for better range of motion.
45,1.5,left,66.78648899655978,0,True,True,True,True,True,Good curl mechanics in this frame.,104.27081603915799,0,False,False,True,True,True,Increase curl depth for better range of motion.
46,1.5333333333333334,left,80.58864870095445,0,False,False,True,True,True,Increase curl depth for better range of motion.,108.79008485362846,0,False,False,True,True,True,Increase curl depth for better range of motion.
47,1.5666666666666667,left,94.06334966721694,0,False,False,True,True,True,Increase curl depth for better range of motion.,113.23294565069793,0,False,False,True,True,True,Increase curl depth for better range of motion.
48,1.6,left,103.60292012677314,0,False,False,True,True,True,Increase curl depth for better range of motion.,117.52781701626685,0,False,False,True,True,True,Increase curl depth for better range of motion.
49,1.6333333333333333,left,111.7761660524711,0,False,False,True,True,True,Increase curl depth for better range of motion.,121.61474905543034,0,False,False,True,True,True,Increase curl depth for better range of motion.
50,1.6666666666666667,left,116.93280096523583,0,False,False,True,True,True,Increase curl depth for better range of motion.,125.44887683243726,0,False,False,True,True,True,Increase curl depth for better range of motion.
51,1.7,left,123.02208729892452,0,False,False,True,True,True,Increase curl depth for better range of motion.,128.97720548551186,0,False,False,True,True,True,Increase curl depth for better range of motion.
52,1.7333333333333334,right,137.18422107464076,0,False,False,True,True,True,Increase curl depth for better range of motion.,131.96980124085815,0,False,False,True,True,True,Increase curl depth for better range of motion.
53,1.7666666666666666,right,146.8152510828048,0,False,False,True,True,True,Increase curl depth for better range of motion.,134.43841222097947,0,False,False,True,True,True,Increase curl depth for better range of motion.
54,1.8,right,153.5933504419977,0,True,True,True,True,True,Good curl mechanics in this frame.,136.71846972183437,0,False,False,True,True,True,Increase curl depth for better range of motion.
55,1.8333333333333333,right,157.82678954020878,0,True,True,True,True,True,Good curl mechanics in this frame.,138.899080352636,0,False,False,True,True,True,Increase curl depth for better range of motion.
56,1.8666666666666667,right,162.0115544337333,0,True,True,True,True,True,Good curl mechanics in this frame.,140.66091765904116,0,False,False,True,True,True,Increase curl depth for better range of motion.
57,1.9,right,165.157136068441,0,True,True,True,True,True,Good curl mechanics in this frame.,142.371083951591,0,False,False,True,True,True,Increase curl depth for better range of motion.
58,1.9333333333333333,right,167.89932595820846,0,True,True,True,True,True,Good curl mechanics in this frame.,144.1044035181642,0,False,False,True,True,True,Increase curl depth for better range of motion.
59,1.9666666666666666,right,169.94608502270668,0,True,True,True,True,True,Good curl mechanics in this frame.,145.72369817355786,0,False,False,True,True,True,Increase curl depth for better range of motion.
60,2.0,right,171.3234064409146,0,True,True,True,True,True,Good curl mechanics in this frame.,147.07096423923608,0,False,False,True,True,True,Increase curl depth for better range of motion.
61,2.033333333333333,right,172.4545439703038,0,True,True,True,True,True,Good curl mechanics in this frame.,148.66307697726938,0,False,False,True,True,True,Increase curl depth for better range of motion.
62,2.066666666666667,right,173.5290714110939,0,True,True,True,True,True,Good curl mechanics in this frame.,150.11376906107196,0,True,True,True,True,True,Good curl mechanics in this frame.
63,2.1,right,173.99085828690795,0,True,True,True,True,True,Good curl mechanics in this frame.,151.5247978165397,0,True,True,True,True,True,Good curl mechanics in this frame.
64,2.1333333333333333,right,174.25538138421808,0,True,True,True,True,True,Good curl mechanics in this frame.,152.83786806493518,0,True,True,True,True,True,Good curl mechanics in this frame.
65,2.1666666666666665,right,174.4625884118993,0,True,True,True,True,True,Good curl mechanics in this frame.,154.18660934366045,0,True,True,True,True,True,Good curl mechanics in this frame.
66,2.2,right,174.75464543887404,0,True,True,True,True,True,Good curl mechanics in this frame.,155.2931359046564,0,True,True,True,True,True,Good curl mechanics in this frame.
67,2.2333333333333334,right,174.79134641352312,0,True,True,True,True,True,Good curl mechanics in this frame.,156.28229896140724,0,True,True,True,True,True,Good curl mechanics in this frame.
68,2.2666666666666666,right,174.7585985809239,0,True,True,True,True,True,Good curl mechanics in this frame.,157.17320329962524,0,True,True,True,True,True,Good curl mechanics in this frame.
69,2.3,right,174.97531125266684,0,True,True,True,True,True,Good curl mechanics in this frame.,158.0771684950747,0,True,True,True,True,True,Good curl mechanics in this frame.
70,2.3333333333333335,right,175.04078545618142,0,True,True,True,True,True,Good curl mechanics in this frame.,158.80633966884895,0,True,True,True,True,True,Good curl mechanics in this frame.
71,2.3666666666666667,right,174.92013221872142,0,True,True,True,True,True,Good curl mechanics in this frame.,159.48706378912686,0,True,True,True,True,True,Good curl mechanics in this frame.
72,2.4,right,174.8381558129737,0,True,True,True,True,True,Good curl mechanics in this frame.,160.0359864860444,0,True,True,True,True,True,Good curl mechanics in this frame.
73,2.433333333333333,right,174.71401238567577,0,True,True,True,True,True,Good curl mechanics in this frame.,160.31559259692227,0,True,True,True,True,True,Good curl mechanics in this frame.
74,2.466666666666667,right,174.61718414292193,0,True,True,True,True,True,Good curl mechanics in this frame.,160.47403628834994,0,True,True,True,True,True,Good curl mechanics in this frame.
75,2.5,right,174.48673893957277,0,True,True,True,True,True,Good curl mechanics in this frame.,160.55493978011793,0,True,True,True,True,True,Good curl mechanics in this frame.
76,2.533333333333333,right,174.5098766939797,0,True,True,True,True,True,Good curl mechanics in this frame.,160.47138882296474,0,True,True,True,True,True,Good curl mechanics in this frame.
